,Number of vCPUs,Number of Threads,Max Prime,Events per second,Total Time,Total Number of Events,Min Latency (ms),Avg Latency (ms),Max Latency (ms),95th Percentile Latency (ms),Total Execution Time across Threads (s),Avg Number of Events per Thread,Avg Execution Time per Thread (s)
0,4,1,10000,1313.0,30.0011,39398.0,0.73,0.76,6.93,0.78,29.96913,39398.0,29.9691
1,4,1,50000,140.04,30.0008,4202.0,7.01,7.14,15.98,7.17,29.990599999999997,4202.0,29.9906
2,4,1,100000,53.02,30.0021,1591.0,18.62,18.85,26.85,18.95,29.997,1591.0,29.997
3,4,1,500000,5.45,30.077,164.0,181.7,183.38,201.22,189.93,30.07458,164.0,30.0746
4,4,1,1000000,2.04,30.4351,62.0,486.69,490.84,504.31,502.2,30.43227,62.0,30.4323
5,4,2,10000,2643.87,30.0007,79328.0,0.73,0.76,1.84,0.77,59.95418,39664.0,29.9771
6,4,2,50000,280.56,30.0009,8418.0,7.02,7.13,13.87,7.17,59.9893,4209.0,29.9946
7,4,2,100000,105.89,30.0076,3178.0,18.69,18.88,34.12,18.95,60.00146,1589.0,30.0007
8,4,2,500000,10.91,30.1386,329.0,181.63,182.8,200.23,186.54,60.14204,164.5,30.071
9,4,2,1000000,4.09,30.3425,124.0,486.87,489.22,497.89,493.24,60.663669999999996,62.0,30.3318
10,4,3,10000,3968.82,30.0009,119075.0,0.73,0.76,3.19,0.77,89.93327000000001,39691.6667,29.9778
11,4,3,50000,420.33,30.0071,12614.0,7.02,7.13,14.2,7.17,89.99199,4204.6667,29.9973
12,4,3,100000,158.72,30.0182,4765.0,18.65,18.89,32.45,18.95,90.01898,1588.3333,30.0063
13,4,3,500000,16.34,30.1113,492.0,181.86,183.2,199.91,186.54,90.13578,164.0,30.0453
14,4,3,1000000,6.08,30.4057,185.0,487.04,490.78,511.04,502.2,90.79425,61.6667,30.2647
15,4,4,10000,5281.47,30.0008,158468.0,0.73,0.76,5.98,0.77,119.90359,39617.0,29.9759
16,4,4,50000,559.5,30.0053,16789.0,7.01,7.15,18.49,7.17,119.98255,4197.25,29.9956
17,4,4,100000,211.44,30.0191,6348.0,18.67,18.91,36.56,18.95,120.0218,1587.0,30.0054
18,4,4,500000,21.81,30.1677,658.0,181.69,183.04,194.73,186.54,120.4387,164.5,30.1097
19,4,4,1000000,8.09,30.3863,246.0,486.92,491.31,514.22,502.2,120.86205,61.5,30.2155
20,4,5,10000,5280.05,30.0012,158416.0,0.73,0.95,20.8,0.78,149.87717,31683.2,29.9754
21,4,5,50000,559.65,30.0067,16794.0,7.01,8.93,33.21,19.29,149.97423,3358.8,29.9948
22,4,5,100000,211.43,30.0197,6348.0,18.66,23.63,54.87,42.61,150.01297,1269.6,30.0026
23,4,5,500000,21.8,30.1726,658.0,181.69,228.79,385.77,363.18,150.54529,131.6,30.1091
24,4,5,1000000,8.13,30.3821,247.0,488.49,612.17,977.61,846.57,151.20549,49.4,30.2411
